titulo,descricao,orgao
Iluminação pública,"1. Esse serviço pode ser solicitado caso não haja iluminação pública na localidade onde você mora. Você pode solicitar tanto a instalação quanto a manutenção da iluminação pública; 2. Esse serviço também pode ser solicitado pelo telefone ou pelo WhatsApp, no número (68) 3223-4877.",
Inscrição Municipal /Autônomo > Abertura,"1. Profissional autônomo é aquele que fornece o próprio trabalho, sem vínculo empregatício, sob a forma de trabalho pessoal; 2. O profissional passa a pagar ao Município, anualmente, o ISS - Imposto Sobre Serviços, podendo tirar notas fiscais avulsas de serviço; 3. O valor do ISS varia de acordo com o nível de escolaridade e pode ser: a) parcelado em até 04 vezes, desde que o valor da parcela não seja inferior à meia UFMRB – Unidade Fiscal do Município de Rio Branco; b) proporcional à quantidade de meses desde a data da solicitação até o final do ano.",
Inscrição Municipal /Autônomo > Alteração de atividade,A alteração da Inscrição Municipal é necessária quando o Autônomo desejar alterar a atividade que exerce.,
Inscrição Municipal /Autônomo > Baixa,"1. A baixa é quando o contribuinte deseja deixar de exercer sua atividade na condição de Autônomo. Após concluída a baixa, não serão mais gerados encargos e impostos, podendo solicitar o DCM – Declaração de Cadastro Mobiliário baixada; 2. Poderão ser exigidos outros documentos e informações complementares, visando à total compreensão do pedido.",
Inscrição Municipal /Autônomo > Reativação,O serviço pode ser solicitado quando o autônomo deseja reativar sua inscrição para voltar a exercer sua atividade.,
Inscrição Municipal /Autônomo > Suspensão,"1. Esse serviço pode ser solicitado quando o Autônomo deseja suspender temporariamente sua atividade. Dessa forma, evitará que os débitos continuem a ser gerados em seu nome; 2. O Autônomo também poderá reativar a qualquer tempo sua atividade; 3. Poderão ser exigidos outros documentos e informações complementares, visando à total compreensão do pedido.",
Inscrição Municipal/ Motorista autônomo > Abertura,"1. Profissional autônomo é aquele que fornece o próprio trabalho, sem vínculo empregatício, sob a forma de trabalho pessoal; 2. O motorista autônomo só poderá ter apenas 01 veículo vinculado ao cadastro; 3. O motorista autônomo passa a pagar ao Município, anualmente, o ISS - Imposto Sobre Serviços, podendo tirar notas fiscais avulsas de serviço.",
Inscrição Municipal/ Motorista autônomo >Baixa ou Suspensão,"1. A baixa é quando o contribuinte deseja deixar de exercer sua atividade na condição de Motorista autônomo. Após concluída a baixa, não serão mais gerados encargos e impostos, podendo solicitar o DCM – Declaração de Cadastro Mobiliário baixada; 2. Suspensão deve ser solicitado quando o Motorista autônomo deseja suspender temporariamente sua atividade. Dessa forma, evitará que os débitos continuem a ser gerados em seu nome; 3. Poderão ser exigidos outros documentos e informações complementares, visando à total compreensão do pedido.",
Inscrição Municipal/ Motorista autônomo > Reativação,O serviço pode ser solicitado quando o motorista deseja reativar sua inscrição para voltar a exercer sua atividade.,
Inscrição Municipal/ Profissional Liberal com endereço fixo >Alteração,"1. A alteração da Inscrição Municipal é necessária quando o Profissional liberal deseja: a) alterar a atividade do estabelecimento; b) alterar o endereço do estabelecimento; 2. Após a conclusão do processo, o Profissional Liberal receberá o Alvará de Funcionamento e Alvará Sanitário, se for o caso, com os dados alterados; 3. Poderão ser exigidos outros documentos e informações complementares.",
Inscrição Municipal/ Profissional Liberal com endereço fixo > Baixa ou Suspensão,"1. A baixa é quando o Profissional Liberal deseja deixar de exercer sua atividade na condição de Profissional Liberal. Após concluída a baixa, não serão mais gerados encargos e impostos, podendo solicitar o DCM – Declaração de Cadastro Mobiliário baixada; 2. Suspensão deve ser solicitado quando o Profissional Liberal deseja suspender temporariamente sua atividade. Dessa forma, evitará que os débitos continuem a ser gerados em seu nome; 3. Poderão ser exigidos outros documentos e informações complementares, visando à total compreensão do pedido.",
Inscrição Municipal/ Profissional Liberal com endereço fixo > Reativação,O serviço pode ser solicitado quando o Profissional Liberal deseja reativar sua inscrição para voltar a exercer sua atividade.,
Inscrição Municipal/ Profissional Liberal sem endereço fixo > Abertura,"1. Profissional Liberal é aquele que fornece o próprio trabalho, sem vínculo empregatício, sob a forma de trabalho pessoal; 2. O valor do ISS varia de acordo com o nível de escolaridade e pode ser: a) parcelado em até 04 vezes, desde que o valor da parcela não seja inferior a meia UFMRB – Unidade Fiscal do Município de Rio Branco; b) proporcional à quantidade de meses desde a data da solicitação até o final do ano.",
Inscrição Municipal/ Profissional Liberal sem endereço fixo > Baixa ou Suspensão,"1. A baixa é quando o contribuinte deseja deixar de exercer sua atividade na condição de Profissional Liberal. Após concluída a baixa, não serão mais gerados encargos e impostos, podendo solicitar o DCM – Declaração de Cadastro Mobiliário baixada; 2. Suspensão deve ser solicitado quando o Profissional Liberal deseja suspender temporariamente sua atividade. Dessa forma, evitará que os débitos continuem a ser gerados em seu nome; 3. Poderão ser exigidos outros documentos e informações complementares, visando à total compreensão do pedido.",
Inscrição Municipal/ Profissional Liberal sem endereço fixo > Reativação,O serviço pode ser solicitado quando o Profissional Liberal deseja reativar sua inscrição para voltar a exercer sua atividade.,
Isenção de IPTU > Pessoa com Transtorno do Espectro Autista,"1. De acordo com o Código Tributário Municipal (Lei Complementar 1.508/2003), são isentos de IPTU os imóveis pertencentes: a viúva ou viúvo, órfão menor ou pessoa inválida para o trabalho em caráter permanente, reconhecidamente pobre, quando nele resida e desde que não possua outro imóvel no Município; 2. Poderão ser exigidos outros documentos e informações complementares, visando à total compreensão do pedido; 3. A isenção deve ser solicitada anualmente.",
Isenção de IPTU > Pessoa de baixa renda,"1. De acordo com o Código Tributário Municipal (Lei Complementar 1.508/2003), são isentos de IPTU os imóveis pertencentes: a viúva ou viúvo, órfão menor ou pessoa inválida para o trabalho em caráter permanente, reconhecidamente pobre, quando nele resida e desde que não possua outro imóvel no Município; 2. A data limite para solicitação é até o último dia útil do mês de junho do corrente exercício; 3. Poderão ser exigidos outros documentos e informações complementares, visando à total compreensão do pedido; 4. A isenção deve ser solicitada anualmente.",
Isenção de IPTU > Pessoa Jurídica,"1. São isentos de IPTU os imóveis de pessoa jurídica nos seguintes casos, conforme Lei Nº 1508/2003: a) cedidos gratuitamente em sua totalidade para uso exclusivo do objetivo social das entidades imunes pela Constituição Federal, quando em regime de comodato devidamente comprovado, dentro da vigência do mesmo, e mediante verificação ""in loco"" pelo Órgão Municipal competente; b) pertencentes a agremiações desportiva licenciada, quando utilizado efetiva e habitualmente no exercício de suas atividades sociais; c) pertencentes a sociedade ou instituição sem fins lucrativos que se destine a congregar classes patronais, trabalhadoras ou estudantis, com a finalidade de realizar sua união, representação, defesa, elevação de seu nível cultural, físico ou recreativo. 2. A data limite para solicitação é até o último dia útil do mês de junho do corrente exercício; 3. Poderão ser exigidos outros documentos e informações complementares visando à total compreensão do pedido; 4. A isenção deve ser solicitada anualmente.",
Isenção de IPTU > Pessoas com doenças crônicas graves e pessoas com deficiência,"1. De acordo com o Código Tributário Municipal (Lei Complementar 1.508/2003), são isentos de IPTU os imóveis pertencentes: a viúva ou viúvo, órfão menor ou pessoa inválida para o trabalho em caráter permanente, reconhecidamente pobre, quando nele resida e desde que não possua outro imóvel no Município; 2. A data limite para solicitação é até o último dia útil do mês de junho do corrente exercício; 3. Poderão ser exigidos outros documentos e informações complementares, visando à total compreensão do pedido; 4. A isenção deve ser solicitada anualmente.",
ISS > Emissão e 2ª Via,"1. O ISS – Imposto Sobre Serviços de Qualquer Natureza é o imposto que o cidadão paga quando realiza prestação de serviços de qualquer natureza. O valor do ISS varia de acordo com o tipo de serviço; 2. A 2ª via do ISS pode ser solicitada em caso de extravio OU perda do documento original OU quando o prazo do pagamento estiver vencido; 3. Estão disponíveis os serviços de Emissão e 2ª Via do ISS. Observação: caso o ISS anual seja pago até o último dia útil do mês de janeiro do ano de exercício, o interessado não pagará multa, nem juros.",
Legislação Estadual,"Este serviço disponibiliza ao Contribuinte informações sobre todas as legislações do Estado, referentes aos serviços da Sefaz.",
Licença para Ampliação,"1. O Alvará de Licença para Ampliação é um documento obrigatório expedido pela Prefeitura para que o cidadão possa ampliar seu imóvel; 2. Estão disponíveis os serviços de 1ªVia e Renovação para pessoa física e jurídica. Observação: a 2ª via desse documento deve ser solicitada diretamente na SMC – Secretaria Municipal da Cidade, localizada na Rua Floriano Peixoto, 460, Bairro Base.",
Licença para Ampliação / Benefício do Promore > Emissão,"1. O Benefício do Promore é um programa de gratuidade do projeto/planta de construção de uma unidade residencial de até 60m²; 2. O Alvará de Licença para Ampliação é um documento obrigatório expedido pela Prefeitura para que o cidadão possa ampliar seu imóvel; Observação: a 2ª via desse documento deve ser solicitada diretamente na SMC – Secretaria Municipal da Cidade, localizada na Rua Floriano Peixoto, 460, Bairro Base.",
Licença para construção,"1. O Alvará de Construção é um documento obrigatório expedido pela Prefeitura para que o cidadão possa construir seu imóvel; 2. Poderão ser exigidos pela Prefeitura outros documentos e informações complementares, além dos já estabelecidos na Instrução Normativa, visando à total compreensão do pedido; 3. O Alvará de Construção tem validade de 01 ano, a partir da data de emissão. Após esse prazo deve fazer o pedido de renovação; 4. Serviço disponível para pessoa física e jurídica. Observação: a 2ª via desse documento deve ser solicitada diretamente na Seinfra – Secretaria de Infraestrutura e Mobilidade Urbana, localizada na Rua Rui Barbosa, 325 (antigo Mira Shopping).",
Licença para construção / Benefício do Promore > Emissão,"1. O Benefício do Promore é um programa de gratuidade do projeto/planta de construção de uma unidade residencial de até 60m²; 2. O Alvará de Licença para Construção tem validade de 01 ano, a partir da data de emissão. Observação: a 2ª via desse documento deve ser solicitada diretamente na Seinfra – Secretaria de Infraestrutura e Mobilidade Urbana, localizada na Rua Rui Barbosa, 325 (antigo Mira Shopping).",
Licença para instalação de engenhos de publicidade > Emissão,"1. Esse serviço deve ser solicitado quando o cidadão desejar instalar engenhos de divulgação de publicidade; 2. São considerados, de acordo com a lei municipal nº 2.093/2014, meios (engenhos) de publicidade: a) Outdoor; b) Painel; c) Totem; d) Poliedro; e) Tabuleta ou placa; f) Faixa ou banner; g) Cartaz; h) Letreiro. 3. Quando o proprietário do imóvel ou o responsável pelo engenho de divulgação de publicidade não estiver mais utilizando o local licenciado, deverá comunicar o fato imediatamente à Prefeitura, a fim de que seja dado baixa no cadastro, caso em que os equipamentos devem ser retirados; 4. Nos casos em que ocorram qualquer alteração na característica, dimensão ou estrutura de sustentação de engenho, deverá ser solicitada nova licença; 5. Poderão ser exigidos outros documentos e informações complementares, visando à total compreensão do pedido; 6. O serviço está disponível para pessoa física e jurídica. Observação: a 2ª via desse documento deve ser solicitada diretamente na Seinfra – Secretaria de Infraestrutura e Mobilidade Urbana, localizada na Rua Rui Barbosa, 325 Centro (antigo Mira Shopping).",
Licença para instalação de engenhos de publicidade > Renovação,"1. Esse serviço somente poderá ser solicitado nos casos em que o engenho não tenha sido instalado dentro do período concessivo (que é de um ano); 2. A licença só poderá ser renovada uma única vez, por igual período 3. Poderão ser exigidos outros documentos e informações complementares, visando à total compreensão do pedido. 4. O serviço está disponível para pessoa física e jurídica.",
Ligação de água e esgoto > Verificação,1.Verificação de ligação de água é um serviço solicitado quando o Saneacre estiver emitindo fatura para um imóvel que não está recebendo abastecimento de água; 2. O Saneacre fará vistoria no local.,
Matrículas On-line na Rede Estadual de Ensino,"1. Esse serviço pode ser solicitado por àqueles que desejam se matricular ou rematrícular em alguma escola pública da rede estadual ensino. 2. O serviço destina-se a garantir o acesso à educação pública de qualidade, bem como promover a inclusão e o desenvolvimento educacional.",
Nota fiscal avulsa > Emissão,"1. A Nota Fiscal Avulsa é necessária para o cidadão receber o pagamento de serviços prestados por pessoa física, dentro do município; 2. Para a Prefeitura, a finalidade de se emitir a Nota Fiscal é recolher o ISS – Imposto Sobre Serviço, que equivale a 5% do valor do serviço. Para a instituição pagadora, é justificar contabilmente o gasto financeiro; 3. Se o prestador de serviço possuir Cadastro de Autônomo (ISS pago anualmente), não pagará o imposto, desde que não haja débito em seu cadastro; 4. No caso de nota fiscal avulsa referente a transporte, o cidadão só poderá emiti-la na prefeitura se o transporte for dentro do município de Rio Branco. No caso de transporte fora do município, deverá solicitar a nota na Sefaz – Secretaria de Estado da Fazenda –, pois nesse caso não incidirá o ISS, e sim ICMS – Imposto sobre Circulação de Mercadorias e Serviços. 5. O tomador do serviço (aquele que contrata o serviço) deve ter cadastro na Prefeitura. Caso não possua, o cadastro poderá ser feito no ato da solicitação da nota fiscal avulsa. Observação: é importante que o cidadão, quando for solicitar a emissão da nota, saiba especificar com detalhamento o serviço que prestou, de acordo com a exigência de cada tomador de serviço, para evitar erros em sua nota e transtornos quanto ao pagamento, pois, uma vez que a nota tenha sido paga, não há possibilidade de alterar os dados. Caso queira alterar os dados da nota após o pagamento desta, terá de pagar uma nova taxa.",
Parcelamento de IPTU > Cujo imóvel esteja em seu nome,"1. Esse serviço pode ser solicitado quando a pessoa jurídica deseja solicitar o parcelamento de débitos referentes ao IPTU – Imposto Predial Territorial Urbano; 2. No ato da solicitação do serviço, o solicitante deve pagar 10% de entrada do valor total do débito. 3. Serviço disponível para pessoa física e jurídica.",
Parcelamento de IPTU > Cujo imóvel não esteja em seu nome,"1. Esse serviço pode ser solicitado quando o cidadão deseja solicitar o parcelamento de débitos referentes ao IPTU – Imposto Predial Territorial Urbano; 2. Na situação em que o imóvel não esteja no nome do proprietário, o CAC montará processo e encaminhará ao setor de cadastro para que este efetue atualização cadastral do imóvel. Em seguida, o setor de cadastro encaminhará ao setor de Divisão de Dívida Ativa, que entrará em contato com o solicitante para que este efetue o pagamento de 10% de entrada do valor total do débito e finalize o parcelamento. 3. Serviço disponível para pessoa física e jurídica.",
Parcelamento de IPTU > Herdeiro e Inventariante,"1. Esse serviço pode ser solicitado quando o cidadão deseja solicitar o parcelamento de débitos referentes ao IPTU – Imposto Predial Territorial Urbano; 2. No caso de falecimento do proprietário, o parcelamento de débito poderá ser solicitado pelos herdeiros legais OU inventariante; 3. No ato da solicitação do serviço, o solicitante deve pagar 10% de entrada do valor total do débito. Na situação em que o imóvel não esteja no nome da pessoa falecida, o CAC montará processo e encaminhará ao setor de cadastro para que este efetue atualização cadastral do imóvel. Em seguida, o setor de cadastro encaminhará ao setor de Divisão de Dívida Ativa, que entrará em contato com o solicitante para que este efetue o pagamento de 10% de entrada do valor total do débito e finalize o parcelamento; 4. Serviço disponível para pessoa física e jurídica.",
Parcelamento de ISS / Autônomo/ Motorista autônomo/ Profissional Liberal sem endereço fixo,"1. Esse serviço pode ser solicitado quando o cidadão deseja realizar o parcelamento de débitos referentes ao ISS – Imposto Sobre Serviço; 2. O CAC montará processo e encaminhará ao setor de Divisão de Dívida Ativa, que entrará em contato com o solicitante para que este efetue o pagamento de 10% de entrada do valor total do débito e finalize o parcelamento.",
Parcelamento de ISS > Pessoa Jurídica,"1. Esse serviço pode ser solicitado quando a pessoa jurídica deseja solicitar o parcelamento de débitos referentes ao ISS – Imposto Sobre Serviço; 2. O CAC montará processo e encaminhará ao setor de Divisão de Dívida Ativa, que entrará em contato com o solicitante para que este efetue o pagamento de 10% de entrada do valor total do débito e finalize o parcelamento.",
Parcelamento de ISS >Profissional Liberal com endereço fixo,"1. Esse serviço pode ser solicitado quando o profissional liberal deseja realizar o parcelamento de débitos referentes ao ISS – Imposto Sobre Serviço; 2. O CAC montará processo e encaminhará ao setor de Divisão de Dívida Ativa, que entrará em contato com o solicitante para que este efetue o pagamento de 10% de entrada do valor total do débito e finalize o parcelamento.",
Recuperar conta GOV.BR,Esse serviço deve ser solicitado nos casos em que o cidadão perdeu acesso a sua conta GOV.BR.,
Regularização da obra,"1. Esse serviço deve ser solicitado quando o cidadão concluiu a construção de seu imóvel sem a devida autorização da prefeitura; 2. Caso a construção tenha sido feita em área de risco, a Prefeitura não a regularizará; 3. Poderão ser exigidos pela Prefeitura outros documentos e informações complementares, além dos já estabelecidos na Instrução Normativa, visando à total compreensão do pedido; 4. No final do processo, o cidadão receberá o Alvará de Licença para Construção, juntamente com o Termo de Habite-se. Nesse caso, não há necessidade de o cidadão entrar com processo para solicitar separadamente o Termo de Habite-se; 5. O serviço está disponível para pessoa física e jurídica. Observação: a 2ª via desse documento deve ser solicitada diretamente na Seinfra – Secretaria de Infraestrutura e Mobilidade Urbana, localizada na Rua Rui Barbosa, 325 Centro (antigo Mira Shopping).",
Regularização da obra > Benefício do Promore,"1. O Benefício do Promore é um programa de gratuidade do projeto/planta de construção de uma unidade residencial de até 60m²; 2. Esse serviço deve ser solicitado quando o cidadão concluiu a construção de seu imóvel sem a devida autorização da prefeitura; 3. A Prefeitura fará uma vistoria no local onde o imóvel foi construído, a fim de verificar se está de acordo com as normas especificadas no Código de Obras e Plano Diretor; 4. Caso a construção tenha sido feita em área de risco, a Prefeitura não a regularizará; 5. Poderão ser exigidos pela Prefeitura outros documentos e informações complementares, além dos já estabelecidos na Instrução Normativa, visando à total compreensão do pedido. 6. No final do processo, o cidadão receberá o Alvará de Licença para Construção, juntamente com o Termo de Habite-se. Nesse caso, não há necessidade de o cidadão entrar com processo para solicitar separadamente o Termo de Habite-se. Observação: a 2ª via desse documento deve ser solicitada diretamente na Seinfra – Secretaria de Infraestrutura e Mobilidade Urbana, localizada na Rua Rui Barbosa, 325 Centro (antigo Mira Shopping).",
Regularização da obra > Instalação de antena e estações de rádio base para telefonia,"1. Esse serviço deve ser solicitado quando o cidadão concluiu a instalação de antena e estações de rádio base para telefonia sem a devida autorização da prefeitura; 2. A Prefeitura fará uma vistoria no local onde foi feita a instalação, a fim de verificar se está de acordo com as normas especificadas no Código de Obras e Plano Diretor; 3. Caso a instalação tenha sido feita em área de risco, a Prefeitura não a regularizará; 4. Poderão ser exigidos pela Prefeitura outros documentos e informações complementares, além dos já estabelecidos na Instrução Normativa, visando à total compreensão do pedido; 5. No final do processo, o cidadão receberá o Alvará de Licença para Construção, juntamente com o Termo de Habite-se. Nesse caso, não há necessidade de o cidadão entrar com processo para solicitar separadamente o Termo de Habite-se. 6. O serviço está disponível para pessoa física e jurídica. Observação: a 2ª via desse documento deve ser solicitada diretamente na Seinfra – Secretaria de Infraestrutura e Mobilidade Urbana, localizada na Rua Rui Barbosa, 325 Centro (antigo Mira Shopping).",
